fuel_level,voltage
243.8,12.4
243.4,12.4
243.3,12.5
242.9,12.4
242.9,12.7
242.6,12.3
242.4,12.3
242.1,12.6
242.1,12.6
241.7,12.4
241.7,12.5
241.7,12.5
241.6,12.6
241.5,12.2
241.5,12.7
241.4,12.3
241.4,12.4
241.3,12.2
241.1,12.3
240.8,12.2
240.4,12.4
240.4,12.4
240.0,12.2
239.9,12.2
239.7,12.6
239.5,12.2
239.1,12.5
239.0,12.3
238.9,12.3
238.9,12.4
238.6,12.5
238.5,12.5
238.5,12.5
238.2,12.5
237.7,12.7
237.5,12.6
237.0,12.4
237.0,12.3
236.9,12.6
236.8,12.3
236.4,12.6
236.4,12.6
236.0,12.2
235.9,12.7
235.6,12.7
235.6,12.5
235.2,12.5
235.1,12.4
234.8,12.3
234.3,12.3
234.1,12.7
233.7,12.4
233.6,12.6
233.6,12.4
233.3,12.5
233.0,12.3
233.0,12.4
232.9,12.5
232.9,12.2
232.8,12.4
232.8,12.6
232.7,12.3
232.7,12.7
232.2,12.7
232.0,12.3
231.8,12.4
231.7,12.6
231.6,12.7
231.2,12.2
230.9,12.5
230.8,12.4
230.7,12.5
230.4,12.5
230.4,12.2
230.2,12.3
230.2,12.6
229.8,12.4
229.7,12.3
229.7,12.6
229.5,12.6
229.4,12.5
229.4,12.3
229.4,12.3
229.1,12.5
228.7,12.3
228.5,12.3
228.5,12.2
228.5,12.6
228.4,12.5
228.3,12.3
228.3,12.6
227.8,12.5
227.8,12.5
227.7,12.3
227.4,12.5
227.1,12.2
226.8,12.3
226.4,12.5
226.0,12.5
225.9,12.7
225.6,12.4
225.3,12.6
224.9,12.3
224.8,12.6
224.4,12.2
224.0,12.6
223.9,12.5
223.5,12.6
223.2,12.2
223.1,12.2
223.1,12.4
222.7,12.5
222.4,12.4
222.3,12.3
221.9,12.7
221.4,12.5
221.0,12.5
220.9,12.5
220.6,12.6
220.6,12.3
220.1,12.4
220.1,12.4
219.7,12.6
219.3,12.6
218.9,12.4
218.9,12.3
218.9,12.7
218.8,12.6
218.3,12.7
218.1,12.3
218.0,12.3
217.8,12.7
217.6,12.5
217.1,12.7
216.7,12.6
216.6,12.6
216.3,12.3
216.3,12.4
216.2,12.6
216.2,12.6
215.7,12.3
215.7,12.2
215.3,12.6
214.9,12.6
214.9,12.6
214.9,12.5
214.6,12.3
214.3,12.5
214.2,12.5
214.1,12.7
214.1,12.5
214.1,12.5
214.0,12.5
214.0,12.2
213.9,12.5
213.9,12.5
213.8,12.2
213.7,12.5
213.5,12.6
213.2,12.3
213.2,12.4
212.9,12.4
212.9,12.3
212.5,12.2
212.0,12.3
211.5,12.3
211.5,12.4
211.4,12.3
211.1,12.5
211.0,12.6
210.6,12.5
210.1,12.4
210.1,12.5
209.8,12.5
209.6,12.4
209.5,12.2
209.5,12.2
209.4,12.5
209.1,12.3
